닉네임,직업,레벨,최근 접속 일수,무릉층수,무릉시간
절벽로으리,카이저,228,2,42,12분 17초
꼬마패리,패스파인더,228,1,41,12분 56초
상동루난,윈드브레이커,228,1,44,14분 53초
제논할즈아,제논,228,21,38,11분 34초
빠방펫,다크나이트,227,3,44,13분 47초
REMOSD,카데나,227,1,37,12분 46초
연화비,카이저,227,1,-,-
도찐개찐기,패스파인더,227,1,41,12분 12초
백아랑,에반,226,1,44,12분 41초
은귤양,은월,226,34,41,13분 23초
하드한남자,카데나,226,7,42,14분 3초
제논은기여워,제논,226,35,-,-
까이저대스네,카이저,226,1,43,13분 43초
남캐한다고,소울마스터,226,3,43,12분 29초
꼬마의발닦개,비숍,225,1,41,11분 40초
암막우산,엔젤릭버스터,225,78,42,14분 38초
매력포탠원영,아크메이지(썬콜),225,1,32,13분 3초
아빠크리남,아크,225,1,33,13분 56초
푸른우지,아델,225,1,29,5분 34초
루니루미1,비숍,225,112,12,19분 30초
위그아스터,팔라딘,225,1,-,-
린버탬탬,아크메이지(불독),225,1,-,-
I망울멍I,섀도어,225,35,44,13분 28초
양장빈,은월,223,12,40,14분 26초
굽도이,듀얼블레이더,223,2,-,-
활력색,캐논마스터,222,2,45,14분 29초
초르몽,나이트로드,222,4,-,-
이지은박효신,아델,222,1,-,-
대점례,아델,221,2,21,25분 50초
Finder하코,패스파인더,220,1,33,13분 37초
니아는진리,에반,220,48,-,-
알리기예리,듀얼블레이더,220,1,19,5분 49초
양호승빈,데몬슬레이어,220,92,38,13분 11초
레미푸라,비숍,220,53,10,10분 40초
방지라,아크메이지(썬콜),218,22,-,-
썬콜할만두,아크메이지(불독),218,1,45,13분 51초
퓨믐달,듀얼블레이더,217,206,-,-
수로불참,카이저,217,5,-,-
오라오라싸개,배틀메이지,216,5,-,-
옐로우피시,아크,216,1,-,-
대선홀릭,다크나이트,215,104,29,10분 33초
하늘음표,바이퍼,214,5,19,2분 1초
o서리늑대o,은월,214,1,-,-
앙팔라띠a,팔라딘,214,1,-,-
찬두두둥,아란,213,38,-,-
자석펫최고요,비숍,213,2,-,-
부앙을부앙떠,소울마스터,213,55,29,7분 14초
오늘의220,패스파인더,213,1,-,-
딸딸아딸,캐논마스터,212,1,-,-
주먹이안닿음,은월,212,1,-,-
소형견허숙희,엔젤릭버스터,211,58,3,5분 7초
박또룽,팔라딘,211,1,-,-
띠웅푸,엔젤릭버스터,210,1,-,-
쥠댑,엔젤릭버스터,210,1,-,-
옆집음대생,아크,209,2,-,-
듀블수키,듀얼블레이더,209,2,-,-
스펙업카드,캐논마스터,206,14,-,-
애시아,팬텀,204,2,-,-
Lenf,나이트로드,203,105,-,-
핏자욜로,아크,202,14,-,-
해오름달베메,배틀메이지,200,14,-,-
하매무적용임,배틀메이지,200,2,-,-
가나인오취리,캐논마스터,196,2,-,-
